timestamp,sim_time,phase_name,sumo_phase,phase_flag_model,cars_N,cars_S,cars_E,cars_W,wait_N,wait_S,wait_E,wait_W,ped_flag,base_predicted_green,final_applied_green,total_inc,total_dec
2026-03-13 14:40:02,163.0,NS,3,0,0,1,1,1,0.00,0.00,27.00,5.00,1,11,11,0,0
2026-03-13 14:40:02,202.0,EW,0,1,0,1,0,0,0.00,13.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:02,240.0,NS,3,0,0,0,1,2,0.00,0.00,14.00,33.00,1,30,26,0,4
2026-03-13 14:40:02,279.0,EW,0,1,2,0,0,0,36.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:02,313.0,NS,3,0,0,0,3,1,0.00,0.00,26.00,22.00,1,30,22,0,8
2026-03-13 14:40:02,352.0,EW,0,1,1,1,0,0,31.00,3.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,384.0,NS,3,0,0,0,2,1,0.00,0.00,26.00,26.00,1,30,22,0,8
2026-03-13 14:40:03,423.0,EW,0,1,1,1,1,0,20.00,13.00,18.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,449.0,NS,3,0,0,0,5,1,0.00,0.00,70.00,3.00,1,30,16,0,14
2026-03-13 14:40:03,488.0,EW,0,1,2,0,1,0,62.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,526.0,NS,3,0,0,0,2,1,0.00,0.00,33.00,2.00,1,30,28,0,2
2026-03-13 14:40:03,565.0,EW,0,1,1,0,1,0,6.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,599.0,NS,3,0,0,0,2,1,0.00,0.00,31.00,15.00,1,30,22,0,8
2026-03-13 14:40:03,639.0,EW,0,1,0,2,0,0,0.00,32.00,0.00,0.00,1,30,28,0,2
2026-03-13 14:40:03,680.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,32,2,0
2026-03-13 14:40:03,719.0,EW,0,1,0,1,0,0,0.00,28.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,758.0,NS,3,0,0,0,1,0,0.00,0.00,33.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,797.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:03,836.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,875.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,914.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,953.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,992.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1031.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1070.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1109.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1148.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1187.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1226.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1265.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:40:04,1304.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:41:24,163.0,NS,3,0,0,1,1,1,0.00,0.00,27.00,5.00,1,11,11,0,0
2026-03-13 14:41:28,202.0,EW,0,1,0,1,0,0,0.00,13.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:41:32,240.0,NS,3,0,0,0,1,2,0.00,0.00,14.00,33.00,1,30,26,0,4
2026-03-13 14:41:36,279.0,EW,0,1,2,0,0,0,36.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:41:40,313.0,NS,3,0,0,0,3,1,0.00,0.00,26.00,22.00,1,30,22,0,8
2026-03-13 14:41:44,352.0,EW,0,1,1,1,0,0,31.00,3.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:41:48,384.0,NS,3,0,0,0,2,1,0.00,0.00,26.00,26.00,1,30,22,0,8
2026-03-13 14:41:52,423.0,EW,0,1,1,1,1,0,20.00,13.00,18.00,0.00,1,30,30,0,0
2026-03-13 14:41:55,449.0,NS,3,0,0,0,5,1,0.00,0.00,70.00,3.00,1,30,16,0,14
2026-03-13 14:41:59,488.0,EW,0,1,2,0,1,0,62.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:42:03,526.0,NS,3,0,0,0,2,1,0.00,0.00,33.00,2.00,1,30,28,0,2
2026-03-13 14:42:07,565.0,EW,0,1,1,0,1,0,6.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:42:11,599.0,NS,3,0,0,0,2,1,0.00,0.00,31.00,15.00,1,30,22,0,8
2026-03-13 14:42:16,639.0,EW,0,1,0,2,0,0,0.00,32.00,0.00,0.00,1,30,28,0,2
2026-03-13 14:42:20,680.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,32,2,0
2026-03-13 14:42:24,719.0,EW,0,1,0,1,0,0,0.00,28.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:42:28,758.0,NS,3,0,0,0,1,0,0.00,0.00,33.00,0.00,1,30,30,0,0
2026-03-13 14:42:33,797.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 14:50:37,161.0,NS,3,0,1,0,2,2,0.00,0.00,6.00,42.00,1,10,6,0,4
2026-03-13 14:50:41,199.0,EW,0,1,2,2,0,0,17.00,21.00,0.00,0.00,1,30,28,0,2
2026-03-13 14:50:45,238.0,NS,3,0,0,0,0,2,0.00,0.00,0.00,22.00,1,30,30,0,0
2026-03-13 14:50:49,272.0,EW,0,1,3,0,0,1,51.00,0.00,0.00,0.00,0,30,22,0,8
2026-03-13 14:50:51,291.0,NS,3,0,0,0,1,1,0.00,0.00,12.00,5.00,0,10,10,0,0
2026-03-13 14:50:53,310.0,EW,0,1,1,0,0,0,10.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 14:50:55,329.0,NS,3,0,0,0,0,1,0.00,0.00,0.00,9.00,0,10,10,0,0
2026-03-13 14:50:59,363.0,EW,0,1,2,1,0,0,47.00,6.00,0.00,0.00,1,30,24,0,6
2026-03-13 14:51:02,397.0,NS,3,0,0,0,2,1,0.00,0.00,43.00,5.00,1,30,24,0,6
2026-03-13 14:51:50,161.0,NS,3,0,1,0,2,2,0.00,0.00,6.00,42.00,0,10,6,0,4
2026-03-13 14:51:52,180.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 14:51:54,199.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 14:51:56,217.0,EW,0,1,2,1,0,0,22.00,6.00,0.00,0.00,0,10,6,0,4
2026-03-13 14:51:58,236.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 14:52:01,255.0,EW,0,1,1,0,0,0,9.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 14:52:04,287.0,NS,3,0,0,0,1,3,0.00,0.00,10.00,38.00,1,30,22,0,8
2026-03-13 14:52:08,326.0,EW,0,1,2,0,0,0,31.00,0.00,0.00,0.00,0,30,30,0,0
2026-03-13 14:52:10,345.0,NS,3,0,0,0,0,2,0.00,0.00,0.00,11.00,0,10,10,0,0
2026-03-13 15:15:55,170.0,NS,3,0,4,0,11,11,75.00,0.00,321.00,319.00,0,34,18,0,16
2026-03-13 15:15:55,196.0,EW,0,1,4,3,4,0,68.00,46.00,17.00,0.00,0,24,14,2,12
2026-03-13 15:15:55,214.0,NS,3,0,0,0,5,4,0.00,0.00,35.00,33.00,0,17,9,0,8
2026-03-13 15:15:55,242.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,17,19,2,0
2026-03-13 15:15:55,281.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 15:15:55,320.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,30,30,0,0
2026-03-13 15:15:55,339.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:55,378.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 15:15:55,417.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,30,30,0,0
2026-03-13 15:15:55,436.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:55,455.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:55,474.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:55,493.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:55,512.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,531.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,550.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,569.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,588.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,607.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,626.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,645.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,664.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,683.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,702.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,721.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,740.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,759.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,778.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,797.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,816.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,835.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,854.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:56,873.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,892.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,911.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,930.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,949.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,968.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,987.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,1006.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,1025.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,1044.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,10,10,0,0
2026-03-13 15:15:57,1083.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 15:15:57,1122.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,30,30,0,0
2026-03-13 15:16:47,170.0,NS,3,0,4,0,11,11,75.00,0.00,321.00,319.00,0,34,18,0,16
2026-03-13 15:16:50,196.0,EW,0,1,4,3,4,0,68.00,46.00,17.00,0.00,0,24,14,2,12
2026-03-13 15:16:52,214.0,NS,3,0,0,0,5,4,0.00,0.00,35.00,33.00,0,17,9,0,8
2026-03-13 15:16:55,242.0,EW,0,1,0,0,0,0,0.00,0.00,0.00,0.00,1,17,19,2,0
2026-03-13 15:16:59,281.0,NS,3,0,0,0,0,0,0.00,0.00,0.00,0.00,1,30,30,0,0
2026-03-13 17:35:07,169.0,NS,3,0,8,8,17,17,136.00,164.00,392.00,388.00,0,31,15,0,16
2026-03-13 17:35:11,205.0,EW,0,1,19,16,11,13,349.00,302.00,85.00,167.00,0,39,24,4,16
2026-03-13 17:35:15,238.0,NS,3,0,13,11,21,23,130.00,117.00,337.00,313.00,0,40,24,0,16
2026-03-13 17:35:19,275.0,EW,0,1,19,18,14,5,395.00,409.00,183.00,20.00,1,40,24,4,16
2026-03-13 17:35:23,310.0,NS,3,0,9,5,17,11,75.00,43.00,319.00,205.00,1,40,24,2,16
2026-03-13 17:35:26,344.0,EW,0,1,11,9,0,0,218.00,180.00,0.00,0.00,0,34,22,4,16
